title,url,best_date_,claims,country_of_owner,primary_country,secondary_countries,robot_country_codes,language_code
No hay evidencia científica sólida que indique que Ibuprofeno empeora el Coronavirus,https://www.colombiacheck.com/chequeos/no-hay-evidencia-cientifica-solida-que-indique-que-ibuprofeno-empeora-el-coronavirus?page=4,2020-03-18,"[""El ibuprofeno empeora el Coronavirus""]",CO,CO,[],"[""co""]",es
Viral post about someone’s uncle’s coronavirus advice is not all it’s cracked up to be,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-06,"[""If you have a runny nose and sputum, you have a common cold, not Covid-19."",""If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne"",""If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap."",""On fabric it can survive for 6-12 hours. normal laundry detergent will kill it."",""Drinking warm water is effective for all viruses. Try not to drink liquids with ice."",""Wash your hands frequently as the virus can only live on your hands for 5-10 minutes."",""You should also gargle as a prevention. A simple solution of salt in warm water will suffice."",""The symptoms of Covid-19 are that it first infects the throat, so you’ll have a sore throat lasting 3 or 4 days. The virus then blends into nasal fluid that enters the trachea and then the lungs causing pneumonia. This takes about 5 or 6 days. With pneumonia comes high fever and difficulty breathing"",""Coronavirus pneumonia is a dry cough with no runny nose."",""This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.""]",GB,GB,[],"[""gb""]",en
[Fakta atau Hoaks] Benarkah Virus Corona Bisa Menular Lewat Barang Impor dari Cina?,https://cekfakta.tempo.co/fakta/649/fakta-atau-hoaks-benarkah-virus-corona-bisa-menular-lewat-barang-impor-dari-cina,2020-03-03,"[""Virus Corona Covid-19 bisa menular lewat barang impor dari Cina""]",ID,ID,[],"[""id"",""my"",""cn""]",id
[Fakta atau Hoaks] Benarkah Produk Pembersih Dettol Bisa Membunuh Virus Corona Wuhan?,https://cekfakta.tempo.co/fakta/607/fakta-atau-hoaks-benarkah-produk-pembersih-dettol-bisa-membunuh-virus-corona-wuhan,2020-02-08,"[""Salah satu produk pembersih Dettol diklaim bisa membunuh virus Corona Wuhan""]",ID,ID,[],"[""id"",""cn"",""gb""]",id
"No, el gobierno chino no está matando a las personas enfermas de coronavirus que se niegan a ser evacuadas",https://colombiacheck.com/chequeos/no-el-gobierno-chino-no-esta-matando-las-personas-enfermas-de-coronavirus-que-se-niegan,2020-03-07,"[""Video muestra que gobierno chino está matando a personas con coronavirus""]",CO,CO,[],"[""co"",""us"",""cn""]",es
"Non, l’OMS n’envisage pas d’annuler le pèlerinage à La Mecque à cause du coronavirus",https://factuel.afp.com/non-loms-nenvisage-pas-dannuler-le-pelerinage-la-mecque-cause-du-coronavirus,2020-02-20,"[""Vers l'annulation du pèlerinage à la Mecque en raison du Coronavirus""]",FR,FR,"[""CD"",""CA"",""CI"",""SN"",""BE""]","[""id"",""ae"",""bj"",""ma"",""ch"",""sa"",""my"",""jp"",""ph"",""fr""]",fr
Did A Quarantined Australian Couple Have Wine Delivered By A Drone?,https://www.boomlive.in/world/did-a-quarantined-australian-couple-have-wine-delivered-by-a-drone-6974,2020-02-24,"[""Australian couple quarantined due to Coronavirus on cruise ship had wine delivered by a drone.""]",IN,IN,[],"[""in""]",en
Coronavírus tem 10 mil casos confirmados Brasil e 28 milhões no mundo #boato,https://www.boatos.org/saude/coronavirus-10-mil-casos-confirmados-brasil-28-milhoes-mundo.html,2020-01-27,"[""URGENTE: VÍRUS DA CHINA ( CORONAVÍRUS) 10 MIL INFECTADOS NO BRASIL ( NÚMERO É MAIOR) MÍDIA MENTE. Alerta máximo - Coronavírus - Pandemia Global - 28 milhões de infectados e 156 mil mortos""]",BR,BR,[],"[""br""]",pt
No hay evidencia de que ‘el coronavirus venga de un laboratorio biológico de Wuhan’,https://colombiacheck.com/chequeos/no-hay-evidencia-de-que-el-coronavirus-venga-de-un-laboratorio-biologico-de-wuhan,2020-03-20,"[""El coronavirus viene de un laboratorio biológico de Wuhan""]",CO,CO,[],"[""co"",""cn"",""us""]",es
China no pidió que una corte aprobara matar a 20.000 pacientes de coronavirus,https://www.colombiacheck.com/chequeos/china-no-pidio-que-una-corte-aprobara-matar-20000-pacientes-de-coronavirus?page=8,2020-03-01,"[""China espera aprobación para matar a 20.000 pacientes de coronavirus""]",CO,CO,[],"[""co""]",es
